id;Practice name;Phone 1;Expertise (REHAB / SPORT / WOMEN / VET / AESTHETIC);Address;City;ZIP code;Country;Latitude;longitude
27;NARJESS KALLEL KHARRAT;216 74 215 600;"[""Rehabilitation""]";DAR ATTABIB, ROUTE DE TUNIS;;SFAX;TUNISIA;34,7643393;10,7620082
28;MOLKA KECHRID;;"[""Rehabilitation""]";MENZEL BOUZELFA;;;;36,6832659;10,5830644
29;BAIA SPA;;"[""Rehabilitation""]";TUNIS LAC 2, LA KASBA;;;;36,7977022;10,1667476
30;MOUNA BELHAJ;;"[""Rehabilitation""]";TUNIS LAC 2;;;;36,84522;10,2726319
31;DR BASSEM KALLEL;;"[""Rehabilitation""]";ROUTE DE TUNIS;;;;34,7579491;10,7628087
32;ONS MEDICO SPA;;"[""Rehabilitation""]";BOULEVARD DU 14 JANVIER;;;;35,8422755;10,6268941
33;CLINIQUE LA SOUKRA;;"[""Rehabilitation""]";RUE CHEIKH MOHAMED ENNEIFER;;;;36,8613934;10,2674127
34;SAMI BEN YAHYA;;"[""Rehabilitation""]";CENTRE IBN AL JAZZAR;;;;35,8403334;10,5943216
35;BADRAN SELMI;;"[""Rehabilitation""]";92, BAYET;;;;35,6576494;10,0817962
36;MOHAMMED GHZAIEL;;"[""Rehabilitation""]";AVENUE SALAH BEN YOUSSEF;;;;33,8735208;10,8461438
37;IMEN AGERBI;;"[""Rehabilitation""]";LES BERGES DU LAC II;;;;36,84522;10,2726319
38;EMNA BOULAKHRAS;;"[""Rehabilitation""]";RUE TAÏEB MHIRI, QA AFUR;;;;36,3241963;9,3235608
39;MUTUELLE VILLE;;"[""Rehabilitation""]";MUTUELLEVILLE, TUNIS, TUNISIA;;;;36,8324058;10,1745278
40;FISIOTERAPIA ATLANTIDE SA;4,11E+11;"[""Rehabilitation""]";VIA CENTRO SPORTIVO 5, 6942 SAVOSA, SWITZERLAND;;;;46,0170814;8,9377533
41;DOTT. SALVATORE GERMANO;;"[""Rehabilitation""]";VIA FILIPPO TURATI, 3, PAVIA, 27100 PROVINCE OF PAVIA, ITALY;;;;45,1968811;9,1164913
42;SAFA BELHASSEN;;"[""Rehabilitation""]";NABEUL?, NABEUL, TUNISIA;;;;36,4550658;10,7154228
43;HASSEN CHEKILI;;"[""Rehabilitation""]";AVENUE DES ETATS UNIS, TUNIS, TUNISIA;;;;36,8159382;10,1774252
44;LATIFA LAHOUAR;;"[""Rehabilitation""]";AVENUE DE YASSER ARAFAT, SOUSSE, TUNISIA;;;;35,8375676;10,5962068
45;SALMA ABASSI, SAMEH AZZABI;;"[""Rehabilitation""]";RUE DU LAC D'ANNECY, TUNIS, TUNISIA;;;;36,8367182;10,2311683
46;CENTRO NICOLAU;34942542745;"[""Rehabilitation""]";CALLE LEPANTO, 5, ASTILLERO, SPAIN;;;;43,4022306;-3,8199569
47;CLINICA VAZQUEZ;34987111196;"[""Rehabilitation""]";CALLE ORTEGA Y GASSET, 25, PONFERRADA, SPAIN;;;;42,5442081;-6,5975136
48;FISIOTERAPIA LAS GAUNAS;34941213506;"[""Rehabilitation""]";PLAZA DE LA VENDIMIA, 6, LOGROÑO, SPAIN;;;;42,4558025;-2,4544796
49;GLOBAL PERFORMANCE;34663407447;"[""Rehabilitation""]";CARRER DE TEODORA LAMADRID, 39, BARCELONA, SPAIN;;;;41,4072313;2,1358102
50;INES VALLES TRESSERRAS;34687001920;"[""Rehabilitation""]";SANTA MARGARIDA DE MONTBUI, BARCELONA, SPAIN;;;;41,556869;1,6030461
51;DPS HEALTCHARE SOLUTIONS;34670875329;"[""Rehabilitation""]";RAMBLA DEL BRASIL, 7, BARCELONA, SPAIN;;;;41,3761438;2,1297758
52;FISIOCOS SANT CUGAT;34936745330;"[""Rehabilitation""]";CARRER DE GIRONA, 15, SANT CUGAT DEL VALLÈS, SPAIN;;;;41,4688655;2,0829355
53;CEREDE;34934523510;"[""Rehabilitation""]";CARRER DEL DOCTOR ROUX, 8-10, BARCELONA, SPAIN;;;;41,3951248;2,1327934
54;SUMMUN VIDA I SALUT DEL PRAT;34628249597;"[""Rehabilitation""]";CARRER DE NARCÍS MONTURIOL, 64, EL PRAT DE LLOBREGAT, SPAIN;;;;41,324214;2,0929913
55;EBREMEDIC;34977510464;"[""Rehabilitation""]";CARRER DE JOAN MIRÓ, 5, TORTOSA, SPAIN;;;;40,8045943;0,5162517
56;HEALTH & SPORT SANTADER;34669242852;"[""Rehabilitation""]";CALLE JOAQUÍN COSTA, 14B, SANTANDER, SPAIN;;;;43,468284;-3,7854362
57;CENTRE LAMBDA;34972911399;"[""Rehabilitation""]";CARRER CASTELL DE PERALADA, 22, GIRONA, SPAIN;;;;41,9708296;2,8224639
58;FSIOCENTER UBEDA;34616346182;"[""Rehabilitation""]";AVENIDA DON CRISTÓBAL CANTERO, 39, ÚBEDA, SPAIN;;;;38,0182259;-3,3745489
59;FISIOTERAPIA PATRICIA PEÑA MOLINA;;"[""Rehabilitation""]";CALLE ÁGUILA, 23, GRANADA, SPAIN;;;;37,1728933;-3,6024765
60;ALONSO VAZQUEZ;34657674093;"[""Rehabilitation""]";PLAZA COSTA DEL SOL, 10, TORREMOLINOS, SPAIN;;;;36,62431;-4,49964
61;CLINICA ALTHEA FISIOTERAPIA;34914397205;"[""Rehabilitation""]";AVENIDA DOCTOR GARCÍA TAPIA, 62, MADRID, SPAIN;;;;40,4121819;-3,6537394
62;FISIOCIT;34916392511;"[""Rehabilitation""]";CARRETERA DEL PLANTIO, KM 3, MAJADAHONDA, SPAIN;;;;40,4748097;-3,8582452
63;ELENA TESÓN DE TROYA;34956518757;"[""Rehabilitation""]";AVENIDA TENIENTE GENERAL MUSLERA, CEUTA, SPAIN;;;;35,8918875;-5,3256075
64;RIO AVE FUTEBOL CLUBE;;"[""Sport""]";ESTÁDIO DO RIO AVE FUTEBOL CLUBE, RUA DOM SANCHO I, VILA DO CONDE, PORTUGAL;;;;41,3627211;-8,7400931
65;CENTRO DE FISIOTERAPIA AVANZADA INMA RODRÍGUEZ;34986336060;"[""Uro & Pelvic Floor""]";CALLE DOCTOR PAZ VARELA, 1, O PORRIÑO, PONTEVEDRA, SPAIN;;;;42,1590157;-8,6158268
66;INNOVA FISIOTERAPIA;34986110336;"[""Rehabilitation"",""Uro & Pelvic Floor""]";ALAMEDA SUÁREZ LLANOS, 7, VIGO;;;SPAIN;42,2241679;-8,7534319
67;CLINICA ENRQUE LLOBET;34964661485;"[""Rehabilitation""]";LA VALL D'UIXÓ, CARRER DE GUZMÁN EL BUENO, 16, LA VALL D'UIXÓ, SPAIN;;;;39,8256453;-0,2349276
68;CLINICA DE REABILITAÇÃO DR.JOSE OLIVEIRA;;"[""Rehabilitation""]";RUA NÚMERO 1 DO OUTEIRO, 51 R/C DT;;;;41,6964781;-8,8311068
69;CRSPORT;;"[""Rehabilitation""]";N. 108 328, 4650 FELGUEIRAS, PORTUGAL;;;;41,1947918;-8,6768124
70;NOVA PHYSIO;;"[""Rehabilitation""]";RUA MATO DA MINA 19, SINTRA, PORTUGAL;;;;38,7653104;-9,3662058
71;FISIOGASPAR;;"[""Rehabilitation""]";AVENIDA ESTADOS UNIDOS DA AMERICA 2C, LISBON, PORTUGAL;;;;38,7491068;-9,1315883
72;FISIOBAÍA;;"[""Rehabilitation""]";AVENIDA CALOUSTE GULBENKIAN, COIMBRA, PORTUGAL;;;;40,2144719;-8,4157037
73;FISIO;;"[""Rehabilitation""]";AV. 25 DE ABRIL 601, 4760-101 VILA NOVA DE FAMALICÃO, PORTUGAL;;;;41,4062634;-8,5265904
74;CENTRO DE TERAPIA MANUAL - SOFIA MILHANO LDA;;"[""Rehabilitation""]";CLUBE DE TENIS DE GUIMARÃES, URBANIZAÇÃO DA FEIJOEIRA, GUIMARAES, PORTUGAL;;;;41,4455015;-8,3035937
75;CRSPORT - EDIFÍCIO SÃO FRANCISCO LOJA E;;"[""Rehabilitation""]";RUA ANTÓNIO NOBRE 33, ATAÍDE, AMARANTE, PORTUGAL;;;;41,2474919;-8,2040336
76;SERGIO FRADE FISIOTERAPIA E OSTEOPATIA;;"[""Rehabilitation""]";RUA DOUTOR AUGUSTO MARTINS 33, MAIA, PORTUGAL;;;;41,231461;-8,6219466
77;HOSPITAL ESCOLA DA FERNANDO PESSOA;;"[""Rehabilitation""]";HOSPITAL FERNANDO PESSOA, SÃO COSME, RUA FERNANDO PESSOA, PORTUGAL;;;;41,1431555;-8,5444128
78;CLINICA NOSSA SRA. DA ESPERANÇA;;"[""Rehabilitation""]";SANDIM, RUA CALVÁRIO 673, VILA NOVA DE GAIA, PORTUGAL;;;;41,0337164;-8,5116505
79;FISIOPRIME;;"[""Rehabilitation""]";RUA DOS CAMPOS VERDES 16, 4470-579 MOREIRA, MAIA, PORTUGAL;;;;41,2566138;-8,6459931
80;MEDICAL CENTER QUELLENHOF;;"[""Rehabilitation""]";PASSEIRER STR., 47, 39015 ST. LEONHARD IN PASSEIER, PROVINCE OF BOLZANO - SOUTH TYROL, ITALY;;;;46,80725;11,24512
81;FISIO TIME CORSICO;39239930558;"[""Rehabilitation""]";VIA VISCONTI DI MODRONE, 2, CORSICO, 20094 METROPOLITAN CITY OF MILAN, ITALY;;;;45,4274326;9,111994
82;CENTRO FISIOTERAPICO NICOLA DI FABIO SEBASTIANO LONGHI;3456128876;"[""Rehabilitation""]";VIA SALÓNGHE, 2;;;;45,9247466;10,2456255
83;BILBOX 2012, S.L.;;"[""Rehabilitation""]";AVENIDA SAN ADRIÁN, 45, BILBAO, SPAIN;;;;43,2435231;-2,9313732
84;VIALTA, S.L.;;"[""Rehabilitation""]";CALLE PULPI, NAVE B11, MOLINA DE SEGURA, SPAIN;;;;38,0476756;-1,211961
85;UMIVALE;34963181018;"[""Rehabilitation""]";AV. REIAL MONESTIR SANTA MARIA DE POBLET, 20, QUART DE POBLET, VALENCIAN COMMUNITY, SPAIN;;;;39,4747927;-0,4356437
86;JAVIER BRAVO RUEDA;34605866977;"[""Rehabilitation""]";AVENIDA DE ESPAÑA, 21, ESC C1 1D, CÁCERES?, CÁCERES, SPAIN;;;;39,4697519;-6,3780973
87;FISIOTERAPIA JUAN MANUEL CASARES;34958164090;"[""Rehabilitation""]";CALLE SAN SEBASTIAN DE LA GOMERA, LOCAL 7, GRANADA, SPAIN;;;;37,2016767;-3,6226455
88;VAN DEN ABBEELE;3252423211;"[""Rehabilitation""]";MIGROSTRAAT 12,9200,TERMONDE, BELGIQUE,BELGIQUE;;;;50,9952268;4,0266075
89;SANIDAD BURGALESA, S.L.;34947474961;"[""Rehabilitation""]";POLÍGONO INDUSTRIAL PENTASA III, JUAN RAMÓN JIMENEZ, S/N NAVE 145-147,;;;;42,3528038;-3,6604589
90;DE CEUNYNK LUDO;3211251744;"[""Rehabilitation""]";KOORSTRAAT,HASSELT, BELGIQUE,BELGIQUE;;;;50,9500893;5,2597685
91;L&S FISIOTERAPIA S.C.;34965485606;"[""Rehabilitation""]";CALLE MAESTRO JUAN DE DIOS PARD, 17B, ALBATERA, SPAIN;;;;38,1822494;-0,8720189
92;JOSE PASCAL CARILLO GARCÍA;;"[""Rehabilitation""]";CALLE MANUEL MORÁN, 51, SANT JOAN D'ALACANT, SPAIN;;;;38,4072515;-0,4348287
93;EVERTS GUY;3289471288;"[""Rehabilitation""]";TOLEIKSTRAAT,3960,BREE, BELGIQUE,BELGIQUE;;;;51,144853;5,6028767
94;FISIO & THERAPIES - GRAN ALACANT;34679801864;"[""Rehabilitation""]";CALLE MONTE DE STA. POLA, 305, MONTE FARO, SPAIN;;;;38,2253112;-0,5251059
95;THOMAS GUERIN;33478563889;"[""Rehabilitation""]";1 CHEMIN DES VIGNES,69670,VAUGNERAY ,FRANCE;;;;45,7343502;4,671399
96;RICARDO RODRIGUEZ TEY;34667845391;"[""Rehabilitation""]";CALLE CÁNOVAS DEL CASTILLO, 6, CÁDIZ, SPAIN;;;;36,5345411;-6,2979466
97;BOMPAS KINE;33468631334;"[""Rehabilitation""]";4 RUE VICTOR HUGO,66430,BOMPAS, PERPIGNAN ,FRANCE;;;;42,7311232;2,9334975
98;CENTRO FISIOTERAPIA Y MASAJE FIMAT, S.L.;34916868134;"[""Rehabilitation""]";CALLE MADRID, 29, LEGANES, SPAIN;;;;40,3310214;-3,7636132
99;WELZEL H. EUREGIOPRAXIS;4959216885;"[""Rehabilitation""]";LAARSTRAßE 9,48529,NORDHORN,ALLEMAGNE;;;;52,43243;7,07157
100;CLINICA ASSARI ADOLFO MADRID;34678514000;"[""Rehabilitation""]";CALLE DE LOS ESTUDIOS, 3, MADRID, SPAIN;;;;40,4120546;-3,7072855
101;SURGIMEDI, S.L.;34986296979;"[""Rehabilitation""]";RÚA TOMÁS A. ALONSO, 29B, VIGO, SPAIN;;;;42,2405989;-8,7207268
102;MANUEL MARTÍNEZ GONZALEZ;;"[""Rehabilitation""]";CALLE MARQUES DE CRÓPANI, 5, CÁDIZ, SPAIN;;;;36,5124553;-6,2810837
103;STOEZEL FREDERIQUE;33557712561;"[""Rehabilitation""]";5 CHEMIN DE CALVIN,33770,SALLES ,FRANCE;;;;44,5595363;-0,8699114
104;CLINICA ARENA SALUD;34670775457;"[""Rehabilitation""]";AVENIDA LOCUTOR VICENTE HIPÓLITO, ALICANTE, SPAIN;;;;38,3738889;-0,4282165
105;MR BRAHMI;33478733316;"[""Rehabilitation""]";36 AVENUE DES ARONDIÈRES, GRIGNY, FRANCE;;;;45,6091302;4,7797267
106;CLINICA MOLIERE;3495245250;"[""Rehabilitation""]";AVENIDA MOLIÈRE, 1, MÁLAGA, SPAIN;;;;36,6906795;-4,4562822
107;CLINICA BECERRA;34600811112;"[""Rehabilitation""]";CALLE INGENIERO ALBERTO OÑAT, 12 1, VALENCIA, SPAIN;;;;39,489985;-0,3558157
108;LECOQ ARNAUD;33490562817;"[""Rehabilitation""]";116 RUE DE LA CAMARGUE,13300,SALON-DE-PROVENCE,FRANCE;;;;43,6433836;5,0906662
109;FISIOACTIVABABEL;34670353334;"[""Rehabilitation""]";AVINGUDA DE ALCALDE LORENZO CARBONELL, 13B, ESC 1, PUERTA 11A ALICANTE, SPAIN;;;;38,3386;-0,50435
110;PANTEFF SPAIN S.L. - JOSE GUTIERREZ ABOTIZ;;"[""Rehabilitation""]";AVENIDA BURGOS, 46, PISO 13B ,MADRID, SPAIN;;;;40,4823941;-3,6755331
111;MARCEAU  VERONIQUE;33327906313;"[""Rehabilitation""]";35 RUE SUZANNE LANOY, SOMAIN, FRANCE;;;;50,3571212;3,2782575
112;MEDICAL HOUSE SLU;;"[""Rehabilitation""]";CARRER DE NA MARIA PLA, 2-6, ANDORRA LA VELLA;;; ANDORRA (BOTIGA 9);42,5075153;1,533378
113;FISIOGOLF - ALICANTE GOLF CASA CLUB;34615513444;"[""Rehabilitation""]";AV. LOCUTOR VICENTE HIPÓLITO, 37, ALICANTE, SPAIN;;;;38,3759954;-0,4216856
114;FC RENNES;;"[""Sport""]";LA PIVERDIÈRE, RENNES, FRANCE;;;;48,0997324;-1,7178951
115;CENTRO DE FISIOTERAPIA AQUILES;34949212703;"[""Rehabilitation""]";CALLE ALVARGOMEZ DE CIUDAD-REAL, 2, GUADALAJARA, SPAIN;;;;40,6279793;-3,1639945
116;FISIO 2004 S.R.L.;;"[""Rehabilitation""]";VIA UGO BRASCHI, 12, SANTARCANGELO DI ROMAGNA, 47822 PROVINCE OF RIMINI, ITALY;;;;44,0639472;12,4517347
117;STUDIO FISIOCLINIK DR.STASSI;;"[""Rehabilitation""]";VIA ANDREA COSTA, 107A, BOLOGNA, 40134 METROPOLITAN CITY OF BOLOGNA, ITALY;;;;44,4953922;11,3197359
118;ORLEANS LOIRET BASKET;;"[""Sport""]";14 BIS RUE EUGENE VIGNAT, ORLEANS;;;;47,909805;1,9125261
119;BLUMEDICA;3959828668;"[""Rehabilitation""]";VIA EMILIA OVEST, 515, MODENA, 41123 PROVINCE OF MODENA, ITALY;;;;44,6577701;10,8986923
120;PESCE PASCAL;33483261846;"[""Rehabilitation""]";6 RUE DE LA PORTE HAUTE, CABRIS, FRANCE;;;;43,6563227;6,876231
121;CHATZIATHANASIOU CHARALAMPOS;;"[""Rehabilitation""]";30 KIFISSIAS AVE. ATHENS 115 26 GREECE;;;;37,9881594;23,7634571
122;THIBAUT FONTAINE;33699830383;"[""Rehabilitation""]";8 RUE SOLFERINO, 59800 LILLE, FRANCE;;;;50,6358792;3,0456505
123;SCM RENUCCI STOULIG;33626185088;"[""Rehabilitation""]";BOULEVARD LOUIS CAMPI, AJACCIO, FRANCE;;;;41,9435715;8,7541701
124;KALLIS KALLI;;"[""Rehabilitation""]";"2 MAVROS CRT 135, 101, 1ST FLOOR (NEAR ""FAMAGUSTA"" STADIUM) LARNACA CYPRUS";;;;34,9008557;33,6338067
125;GIANNIS LOUTSIOS;;"[""Rehabilitation""]";AGIOU ELEFTHERIOU 70 MOUTAYIAKA LIMASSOL CYPRUS;;;;34,7207259;33,0849408
126;FYTILIS THOMAS IASIS;;"[""Rehabilitation""]";IROON POLYTECHNEIOU 70 KARDITSA 431 00 GREECE;;;;39,3594122;21,9225602
127;MIMIDIS P. DIMITRIS;;"[""Rehabilitation""]";ERINIS AVENUE 88 PREVEZA 481 00 GREECE;;;;38,9553006;20,7527483
128;NIKOLAIDIS AKIS PHYSIOGEN;;"[""Rehabilitation""]";28 MELISSIA 151 27 GREECE;;;;38,0585491;23,8347825
129;SARAMANTOS IOANNIS - KAPLAS APOSTOLOS;;"[""Rehabilitation""]";MIHALAKOPOULOU 58 ATHENS 115 28 GREECE;;;;37,9775837;23,7558081
130;SAKELLARIOU KONSTANTINOS;;"[""Rehabilitation""]";AVIDOU 15 ZOGRAFOU 157 71 GREECE;;;;37,9759933;23,7608584
131;ZERVAKAKI ELENI - STRATAKIS NIKOLAOS;;"[""Rehabilitation""]";KORITSAS 4 CHAIDARI 124 61 GREECE;;;;38,0115655;23,6613248
132;KOUTSOURADIS NASOS PHYSIOATHENS;;"[""Rehabilitation""]";AGIAS ELEOUSSIS 118 MAROUSI 151 25 GREECE;;;;38,0473219;23,8116001
133;TOURNAKIS GEORGIOS;;"[""Rehabilitation""]";KODROU 31 CHALANDRI 152 32 GREECE;;;;38,0152481;23,7898809
134;GRAMMATOPOULOU NATALIA - DOUROPOULOS GIORGOS;;"[""Rehabilitation""]";183 AMFITHEAS AVE. PALAIO FALIRO 175 63 GREECE;;;;37,9231396;23,7055906
135;AGGELAKIS NIKOS;;"[""Rehabilitation""]";ANTISTASEOS 62 HERAKLION 713 06 GREECE;;;;35,3309648;25,1396423
136;OUTZOUKAS ADAM;;"[""Rehabilitation""]";SKALTSOUNIS 13 CHANIA 731 34 GREECE;;;;35,5069249;24,0322021
137;PHYSIO SCIENCE CLINIC - SIDERIS A. - SOTIRALIS;;"[""Rehabilitation""]";66 VASSILISSIS SOFIAS AVE. ATHENS 115 28 GREECE;;;;37,9788314;23,7531813
138;MAVROPOULOS IOANNIS - MEDICAL REHAB;;"[""Rehabilitation""]";SIOKOU 7 CHALKIDA 341 00 GREECE;;;;38,4604142;23,5948908
139;CENTER OF PHYSIOTHERAPY CHIROTHERAPEFTIKI - PAPADIMITRIOU EVANG. M.S., PT;;"[""Rehabilitation""]";IOANNOU ALEXIOU 6 CHALKIDA 341 00 GREECE;;;;38,4547028;23,5987687
140;HATZISARANTOS XENOFON;;"[""Rehabilitation""]";LEOFOROS MARATHONOS 2 AGIOS STEFANOS 145 65 GREECE;;;;38,1377387;23,869226
141;TOLIS ANASTASIOS;;"[""Rehabilitation""]";DODONI AVENUE 24 IOANNINA 453 32 GREECE;;;;39,6597337;20,8508982
142;VASSILIEV PAVLOS;;"[""Rehabilitation""]";ANO MERA MYKONOS 846 00 GREECE;;;;37,4475393;25,3912281
143;PALMER FREDERIC;33490505002;"[""Rehabilitation""]";PLACE LOU BLAGAIRE, 13118 ENTRESSEN;;;;43,5924675;4,9386174
144;PAPOUTSAKIS KONSTANTINOS;;"[""Rehabilitation""]";MACHIS KRITIS 10 HERAKLION 713 03 GREECE;;;;35,3375644;25,1220589
145;PHYSIOMEL (BOURNOUSOUSIS ELEFTHERIOS E.);;"[""Rehabilitation""]";PENTELIS AVE. 45 VRILISSIA 152 35 GREECE;;;;38,0413276;23,8321232
146;SIFAKIS ZACHARIAS AND LAGOGIANNIS EMMANOUIL OE;;"[""Rehabilitation""]";NIKIFOROS FOKAS 1 CHANIA 731 32 GREECE;;;;35,5148108;24,0230748
147;TRONC JACQUES/CAYSSALS/ARNAL;33565701934;"[""Rehabilitation""]";RUE DU PUECH, BARAQUEVILLE, FRANCE;;;;44,2756815;2,4394565
148;KOSTAKOS I. PANAGIOTIS;;"[""Rehabilitation""]";BIKA 35 MALESINA 350 01 GREECE;;;;38,6654482;23,2064711
149;LOUIS REMY USAP;33680982322;"[""Rehabilitation""]";66000 ALLEE AIME GIRAL, PERPIGNAN, FRANCE;;;;42,714993;2,8922829
150;GRITZALIS G. - SAMIOS D.;;"[""Rehabilitation""]";RIZARI 24 ATHENS 116 35 GREECE;;;;37,9721945;23,7470774
151;LOUIZIDIS PERIANDROS;;"[""Rehabilitation""]";77 STEFANOU KAZOULI RODOS 851 00 GREECE;;;;36,4342744;28,2258667
152;POLITIS CH. - CHANTZIS E.;;"[""Rehabilitation""]";14 LAMIA PARK SQUARE 351 00 GREECE;;;;38,9022766;22,4326379
153;OTZ JEAN FRANCOIS;33590908231;"[""Rehabilitation""]";62 RUE ACHILLE RENE BOISNEUF, POINTE-A-PITRE, GRANDE-TERRE, GUADELOUPE;;;;16,2367541;-61,5370524
154;BETSOS THEODOROS;;"[""Rehabilitation""]";OLD NATIONAL ROAD OF CORINTH PATRAS 5E RIO 265 04 GREECE;;;;38,2963988;21,7932151
155;EL FAKIR KARIM;33975415166;"[""Rehabilitation""]";34 C AVENUE DE FARCIENNES, BEAUCAIRE, FRANCE;;;;43,812025;4,6315971
156;THANOS NIKOLAOS ?.;;"[""Rehabilitation""]";MESOGEION 269 269 MESOGEION NEO PSYCHIKO 154 51 GREECE;;;;38,003676;23,792693
157;MYSTRAKIS ANASTASIOS;;"[""Rehabilitation""]";15 KRIARI  RETHYMNO, 74100;;;;35,3650469;24,4706647
158;BURBOURAKIS SPIRUS;;"[""Rehabilitation""]";PAPANASTASIOU 30, SITIA;;;;35,2064803;26,1032726
159;MPRATIS ANASTASIOS;;"[""Rehabilitation""]";DIMITRIOU 1 ZAKYNTHOS 291 00 GREECE;;;;37,7734245;20,9014297
160;PHYSIOCARE;;"[""Rehabilitation""]";DIMOKRATIAS AVE. 51 PAPHOS CYPRUS;;;;34,7754951;32,4427611
161;RAPHAILIDIS DIMITRIS;;"[""Rehabilitation""]";NOSOKOMIOU 21 PTOLEMAIDA 502 00 GREECE;;;;40,5151694;21,6772843
162;LAMBERT SYLVAIN;33237230765;"[""Rehabilitation""]";42 AVENUE DU GENERAL DE GAULLE,28130,MAINTENON ,FRANCE;;;;48,585313;1,591279
